number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
76,1.7580094226751044,2026-02-12 23:46:45.901837,2026-02-12 23:47:08.317811,0 days 00:00:22.415974,0.7379479758060682,412,7.750252824329414,depthwise,0.00535452212766452,5,9,,1.3062127017553984,9.42441774973413e-05,6.02368158250467,0.8982261317598179,COMPLETE
77,1.7583316401520195,2026-02-12 23:46:49.931577,2026-02-12 23:47:11.489768,0 days 00:00:21.558191,0.7274867920232628,428,7.658997967348456,depthwise,0.0068130169576055746,4,9,,0.6153497307412411,0.00013259151736521693,4.779966724479973,0.9077751194675463,COMPLETE
78,1.7556784347350407,2026-02-12 23:46:50.051676,2026-02-12 23:47:11.330599,0 days 00:00:21.278923,0.6368329065056826,575,7.7290705352489875,depthwise,0.006792353990321678,4,9,,8.182243536282154,6.0204500999482746e-05,23.861979454834245,0.9112969940641574,COMPLETE
79,1.7548795965308994,2026-02-12 23:46:52.850196,2026-02-12 23:47:16.558772,0 days 00:00:23.708576,0.7440107601875121,698,7.574536478355137,depthwise,0.005144797489664393,4,9,,3.515055334053847,0.00013496046733124236,22.90680784756382,0.9174684799653342,COMPLETE
80,1.7579700622224266,2026-02-12 23:46:54.439524,2026-02-12 23:47:18.558231,0 days 00:00:24.118707,0.8626791083433423,692,7.6959871366356,depthwise,0.0050884330368042,5,9,,7.657765512581225,8.194310293793618e-06,22.865786943820392,0.8617113297386475,COMPLETE
81,1.756231941071311,2026-02-12 23:46:54.893235,2026-02-12 23:47:20.096812,0 days 00:00:25.203577,0.7449888776087594,572,7.321381129273084,depthwise,0.005090029525088763,4,9,,3.3916385138015337,6.98524211684572e-06,67.23967648022443,0.8654940102793539,COMPLETE
82,1.7533110226814088,2026-02-12 23:46:57.686649,2026-02-12 23:47:19.903851,0 days 00:00:22.217202,0.6363961328720864,799,8.949107632644582,depthwise,0.005290359020523324,4,9,,3.4329122845036935,7.561911634814272e-06,23.48086183160606,0.8982570236234603,COMPLETE
83,1.7560302838558757,2026-02-12 23:47:08.378966,2026-02-12 23:47:29.258395,0 days 00:00:20.879429,0.6358815060982164,576,8.803680267319242,depthwise,0.010067498876274998,4,9,,8.202827319909964,7.542076568483878e-06,25.07334010814014,0.8614791581519832,COMPLETE
84,1.7556445839272823,2026-02-12 23:47:09.524035,2026-02-12 23:47:29.821695,0 days 00:00:20.297660,0.6340543113311314,563,8.735100899395153,depthwise,0.010033332714223027,4,9,,2.072364014653538,7.529394619520558e-06,22.55772072892411,0.8901973765112777,COMPLETE
85,1.7564052836574653,2026-02-12 23:47:11.396759,2026-02-12 23:47:31.659718,0 days 00:00:20.262959,0.6428608070725558,538,8.859230547372718,depthwise,0.009593241874923166,4,9,,3.4450547030984735,0.0010268091688684945,22.8689725459755,0.9685959015555601,COMPLETE
